室名,曜日,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
主たる居室,平日,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,1,2,2,3,3,2,1,1
主たる居室,休日,0,0,0,0,0,0,0,0,3,2,2,2,2,1,0,0,2,3,3,4,2,2,1,0
その他居室_子供室1,平日,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
その他居室_子供室1,休日,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1
その他居室_子供室2,平日,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
その他居室_子供室2,休日,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1
その他居室_寝室,平日,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
その他居室_寝室,休日,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
