日時,外気温度[℃],外気絶対湿度[kg/kg(DA)],main_occupant_room_窓開閉,main_occupant_room_在室状況,main_occupant_room_最終空調状態,main_occupant_room_空気温度[℃],main_occupant_room_室相対湿度[%],main_occupant_room_室絶対湿度[kg/kg(DA)],main_occupant_room_室MRT[℃],main_occupant_room_室作用温度[℃],main_occupant_room_透過日射熱取得[W],main_occupant_room_機器顕熱発熱[W],main_occupant_room_照明発熱[W],main_occupant_room_人体顕熱発熱[W],main_occupant_room_人体潜熱発熱[W],main_occupant_room_対流空調顕熱負荷[W],main_occupant_room_放射空調顕熱負荷[W],main_occupant_room_対流空調潜熱負荷[W],main_occupant_room_家具温度[℃],main_occupant_room_家具取得熱量[W],main_occupant_room_家具吸収日射熱量[W],main_occupant_room_家具絶対湿度[kg/kg(DA)],main_occupant_room_家具取得水蒸気量[kg/s],main_occupant_room_summarize_building_part_0_表面温度[℃],main_occupant_room_summarize_building_part_1_表面温度[℃],main_occupant_room_summarize_building_part_2_表面温度[℃],main_occupant_room_summarize_building_part_0_等価室温[℃],main_occupant_room_summarize_building_part_1_等価室温[℃],main_occupant_room_summarize_building_part_2_等価室温[℃],main_occupant_room_summarize_building_part_0_境界温度[℃],main_occupant_room_summarize_building_part_1_境界温度[℃],main_occupant_room_summarize_building_part_2_境界温度[℃],main_occupant_room_summarize_building_part_0_表面放射熱流[W],main_occupant_room_summarize_building_part_1_表面放射熱流[W],main_occupant_room_summarize_building_part_2_表面放射熱流[W],main_occupant_room_summarize_building_part_0_表面対流熱流[W],main_occupant_room_summarize_building_part_1_表面対流熱流[W],main_occupant_room_summarize_building_part_2_表面対流熱流[W]
1989-01-01 19:30:00,6.4,0.0037,0,1,1,33.84,13,0.0043,15.86,24.85,0.00,167.82,190.78,94.52,381.48,1050.4,0.0,-0.0,31.94,373.6,0.0,0.00424,0.00013,17.45,13.08,16.11,18.17,21.39,19.13,5.15,5.15,14.63,-116.94,127.61,-10.67,182.26,396.32,0.00
1989-01-01 19:45:00,6.4,0.0037,0,1,1,33.83,13,0.0044,15.86,24.84,0.00,167.82,190.78,94.55,381.45,985.8,0.0,-0.0,32.25,310.1,0.0,0.00434,0.00013,17.43,13.08,16.12,18.16,21.38,19.12,5.15,5.15,14.63,-116.11,127.48,-11.37,182.33,396.19,0.00
1989-01-01 20:00:00,6.4,0.0037,0,1,1,33.82,14,0.0044,15.86,24.84,0.00,269.10,83.99,47.36,190.64,984.0,0.0,-0.0,32.51,256.5,0.0,0.00438,0.00006,17.42,13.07,16.12,18.15,21.37,19.12,5.15,5.15,14.63,-115.56,127.49,-11.94,182.28,395.97,0.00
1989-01-01 20:15:00,6.4,0.0037,0,1,1,33.81,14,0.0045,15.86,24.83,0.00,269.10,83.99,47.48,190.52,942.1,0.0,-0.0,32.73,213.7,0.0,0.00443,0.00006,17.41,13.07,16.12,18.15,21.37,19.11,5.15,5.15,14.62,-115.23,127.49,-12.26,182.31,395.93,0.00
1989-01-01 20:30:00,6.4,0.0037,0,1,1,33.81,14,0.0045,15.86,24.83,0.00,269.10,83.99,47.50,190.50,905.1,0.0,-0.0,32.90,177.3,0.0,0.00447,0.00006,17.41,13.07,16.13,18.15,21.37,19.11,5.15,5.15,14.62,-115.12,127.50,-12.39,182.27,395.84,0.00
1989-01-01 20:45:00,6.4,0.0037,0,1,1,33.80,14,0.0045,15.85,24.83,0.00,269.10,83.99,47.55,190.45,874.9,0.0,-0.0,33.05,147.2,0.0,0.00451,0.00006,17.41,13.07,16.12,18.15,21.36,19.11,5.15,5.15,14.62,-115.10,127.47,-12.37,182.24,395.77,0.00
1989-01-01 21:00:00,6.4,0.0037,0,1,1,33.80,14,0.0046,15.85,24.82,0.00,269.10,83.99,47.59,190.41,850.1,0.0,-0.0,33.18,122.4,0.0,0.00455,0.00005,17.41,13.07,16.12,18.14,21.36,19.11,5.15,5.15,14.62,-115.15,127.38,-12.23,182.24,395.74,0.00
1989-01-01 21:15:00,6.4,0.0037,0,1,1,33.81,14,0.0046,15.83,24.82,0.00,269.10,83.99,47.61,190.39,834.0,0.0,-0.0,33.28,103.3,0.0,0.00459,0.00005,17.40,13.04,16.11,18.13,21.35,19.09,5.10,5.10,14.58,-115.68,128.06,-12.38,182.40,396.44,0.00
1989-01-01 21:30:00,6.3,0.0037,0,1,1,33.82,14,0.0047,15.82,24.82,0.00,269.10,83.99,47.55,190.45,822.1,0.0,-0.0,33.37,88.4,0.0,0.00463,0.00005,17.39,13.01,16.09,18.12,21.34,19.07,5.05,5.05,14.55,-116.19,128.55,-12.36,182.68,397.27,0.00
1989-01-01 21:45:00,6.2,0.0036,0,1,1,33.84,14,0.0047,15.79,24.81,0.00,269.10,83.99,47.45,190.55,813.2,0.0,-0.0,33.45,76.5,0.0,0.00467,0.00005,17.37,12.98,16.06,18.10,21.33,19.04,5.00,5.00,14.52,-116.70,128.94,-12.24,183.04,398.16,0.00
1989-01-01 22:00:00,6.2,0.0036,0,1,1,33.85,14,0.0047,15.77,24.81,0.00,242.91,83.99,23.66,95.34,856.8,0.0,-0.0,33.51,67.0,0.0,0.00468,0.00002,17.35,12.95,16.04,18.08,21.32,19.01,4.95,4.95,14.49,-117.15,129.23,-12.08,183.46,399.12,0.00
1989-01-01 22:15:00,6.2,0.0036,0,1,1,33.88,14,0.0047,15.75,24.81,0.00,242.91,83.99,23.58,95.42,852.3,0.0,-0.0,33.57,59.8,0.0,0.00469,0.00001,17.33,12.93,16.01,18.07,21.31,18.99,4.93,4.93,14.48,-117.32,129.01,-11.69,183.94,399.90,0.00
1989-01-01 22:30:00,6.2,0.0035,0,1,1,33.90,14,0.0047,15.72,24.81,0.00,242.91,83.99,23.49,95.51,847.9,0.0,-0.0,33.63,53.5,0.0,0.00470,0.00001,17.31,12.91,15.98,18.05,21.31,18.96,4.90,4.90,14.47,-117.45,128.80,-11.36,184.40,400.63,0.00
1989-01-01 22:45:00,6.1,0.0035,0,1,1,33.92,14,0.0047,15.70,24.81,0.00,242.91,83.99,23.40,95.60,844.9,0.0,-0.0,33.68,48.2,0.0,0.00471,0.00001,17.29,12.90,15.96,18.03,21.30,18.93,4.88,4.88,14.46,-117.53,128.59,-11.05,184.88,401.37,0.00
1989-01-01 23:00:00,6.1,0.0035,0,0,0,30.25,18,0.0047,15.39,22.82,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,33.11,-561.5,0.0,0.00470,-0.00002,16.99,12.23,15.81,17.31,19.97,18.55,4.85,4.85,14.45,-118.97,143.80,-24.82,147.43,344.02,0.00
1989-01-01 23:15:00,6.0,0.0035,0,0,0,28.78,19,0.0047,15.02,21.90,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,32.40,-709.9,0.0,0.00468,-0.00002,16.51,11.86,15.53,16.79,19.26,18.10,4.80,4.80,13.31,-110.70,143.41,-32.71,136.49,323.08,0.00
1989-01-01 23:30:00,6.0,0.0035,0,0,0,27.92,20,0.0047,14.68,21.30,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,31.66,-734.4,0.0,0.00467,-0.00002,16.12,11.59,15.19,16.38,18.75,17.69,4.75,4.75,12.84,-107.11,140.20,-33.09,131.19,311.73,0.00
1989-01-01 23:45:00,6.0,0.0035,0,0,0,27.23,21,0.0046,14.36,20.79,0.00,66.93,0.00,0.00,0.00,0.0,0.0,-0.0,30.92,-726.2,0.0,0.00465,-0.00002,15.74,11.35,14.87,16.01,18.32,17.29,4.70,4.70,12.54,-103.04,136.27,-33.24,127.75,303.14,0.00
