名称,日射熱取得率,透過率,吸収日射取得率,熱貫流率［W/m2K］,室内側対流熱伝達率[W/m2K],室内側放射熱伝達率[W/m2K],室外側熱伝達率[W/m2K],室外側放射率
窓,0.792,0.738,0.054,4.65,4.1,5,25,0.9
窓2,0.65,0.6,0.05,2.33,4.1,5,25,0.9
