名称,開口部幅[mm],開口部高さ[mm],出巾[mm],窓上端とバルコニーの距離[mm],向かって左側の庇のでっぱり[mm],向かって右側の庇のでっぱり[mm]
バルコニー,3300,2100,910,480,290,50
ひさし,2000,1800,600,250,250,00
