日付,時刻,外気温度,法線面直達日射,水平面天空日射,夜間放射量,絶対湿度,太陽高度角,太陽方位角
,,[℃],[W/m2],[W/m2],[W/m2],[g/kg'],[°],[°]
1月1日,1,2.6,0.0000000000000000 ,0.0000000000000000 ,80.5555555555555000 ,3.3000000000000000 ,0,0
1月1日,2,2.9,0.0000000000000000 ,0.0000000000000000 ,80.5555555555555000 ,3.2000000000000000 ,0,0
1月1日,3,2.8,0.0000000000000000 ,0.0000000000000000 ,75.0000000000000000 ,3.2000000000000000 ,0,0
1月1日,4,2.4,0.0000000000000000 ,0.0000000000000000 ,72.2222222222222000 ,3.3000000000000000 ,0,0
1月1日,5,2.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.3000000000000000 ,0,0
1月1日,6,2.8,0.0000000000000000 ,0.0000000000000000 ,63.8888888888889000 ,3.3000000000000000 ,0,0
1月1日,7,2.3,2.7777777777777800 ,2.7777777777777800 ,63.8888888888889000 ,3.2000000000000000 ,0,0
1月1日,8,2.3,138.8888888888890000 ,41.6666666666667000 ,63.8888888888889000 ,3.3000000000000000 ,7.2,-48.7
1月1日,9,3.7,486.1111111111110000 ,86.1111111111111000 ,86.1111111111111000 ,3.3000000000000000 ,14.7,-36.8
1月1日,10,5.9,736.1111111111110000 ,86.1111111111111000 ,97.2222222222222000 ,3.3000000000000000 ,20.2,-23.6
1月1日,11,7.7,666.6666666666670000 ,125.0000000000000000 ,97.2222222222222000 ,2.8000000000000000 ,23.2,-9.1
1月1日,12,8.5,569.4444444444440000 ,158.3333333333330000 ,91.6666666666667000 ,3.0000000000000000 ,23.5,6
1月1日,13,9.3,788.8888888888890000 ,97.2222222222222000 ,108.3333333333330000 ,2.6000000000000000 ,21,20.6
1月1日,14,9.8,450.0000000000000000 ,150.0000000000000000 ,91.6666666666667000 ,2.6000000000000000 ,16,34.2
1月1日,15,9.6,141.6666666666670000 ,116.6666666666670000 ,63.8888888888889000 ,2.6000000000000000 ,8.9,46.3
1月1日,16,8.9,155.5555555555560000 ,58.3333333333333000 ,72.2222222222222000 ,3.3000000000000000 ,0.3,57.2
1月1日,17,7.9,41.6666666666667000 ,11.1111111111111000 ,69.4444444444444000 ,3.3000000000000000 ,0,0
1月1日,18,6.9,0.0000000000000000 ,0.0000000000000000 ,72.2222222222222000 ,3.5000000000000000 ,0,0
1月1日,19,6.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.6000000000000000 ,0,0
1月1日,20,6.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.7000000000000000 ,0,0
1月1日,21,6.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.7000000000000000 ,0,0
1月1日,22,6.2,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.6000000000000000 ,0,0
1月1日,23,6.1,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.5000000000000000 ,0,0
1月1日,24,5.9,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.5000000000000000 ,0,0
1月2日,1,5.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.5000000000000000 ,0,0
1月2日,2,5.6,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.5000000000000000 ,0,0
1月2日,3,5.5,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.4000000000000000 ,0,0
1月2日,4,5.5,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.5000000000000000 ,0,0
1月2日,5,5.4,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.4000000000000000 ,0,0
1月2日,6,5.7,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.2000000000000000 ,0,0
1月2日,7,5.1,0.0000000000000000 ,0.0000000000000000 ,69.4444444444444000 ,3.3000000000000000 ,0,0
1月2日,8,4.5,236.1111111111110000 ,44.4444444444444000 ,66.6666666666667000 ,3.6000000000000000 ,7.2,-48.8
1月2日,9,5.3,58.3333333333333000 ,86.1111111111111000 ,47.2222222222222000 ,3.5000000000000000 ,14.7,-37
1月2日,10,6.7,41.6666666666667000 ,116.6666666666670000 ,41.6666666666667000 ,3.4000000000000000 ,20.2,-23.7
1月2日,11,6.7,36.1111111111111000 ,144.4444444444440000 ,44.4444444444444000 ,3.0000000000000000 ,23.3,-9.2
1月2日,12,7,33.3333333333333000 ,155.5555555555560000 ,44.4444444444444000 ,2.9000000000000000 ,23.6,5.8
1月2日,13,7.2,38.8888888888889000 ,150.0000000000000000 ,44.4444444444444000 ,2.8000000000000000 ,21.1,20.5
1月2日,14,7.5,63.8888888888889000 ,144.4444444444440000 ,50.0000000000000000 ,2.7000000000000000 ,16.1,34.1
1月2日,15,7.5,494.4444444444440000 ,100.0000000000000000 ,91.6666666666667000 ,2.8000000000000000 ,9,46.3
1月2日,16,7.6,405.5555555555560000 ,55.5555555555556000 ,94.4444444444444000 ,2.8000000000000000 ,0.5,57.2
1月2日,17,7.4,22.2222222222222000 ,11.1111111111111000 ,88.8888888888889000 ,2.8000000000000000 ,0,0
1月2日,18,6.7,0.0000000000000000 ,0.0000000000000000 ,83.3333333333333000 ,2.9000000000000000 ,0,0
1月2日,19,6,0.0000000000000000 ,0.0000000000000000 ,80.5555555555555000 ,2.9000000000000000 ,0,0
1月2日,20,4.7,0.0000000000000000 ,0.0000000000000000 ,75.0000000000000000 ,3.1000000000000000 ,0,0
