月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
3,25,17,16.2,9.9,13.88888889,47.22222222,22.22222222,15.5,81.3
3,25,18,15.7,9.5,19.44444444,11.11111111,25,3.2,90.1
3,25,19,15.7,9.1,0,0,27.77777778,0,0
3,25,20,15,8.7,0,0,30.55555556,0,0
3,25,21,14,8.3,0,0,33.33333333,0,0
3,25,22,14.6,7.9,0,0,36.11111111,0,0
3,25,23,14.1,7.4,0,0,41.66666667,0,0
3,25,24,13.4,7,0,0,44.44444444,0,0
3,26,1,12.4,6.5,0,0,47.22222222,0,0
3,26,2,11.8,6.1,0,0,52.77777778,0,0
3,26,3,11.3,5.7,0,0,55.55555556,0,0
3,26,4,10.8,5.4,0,0,58.33333333,0,0
3,26,5,10.2,5.1,0,0,63.88888889,0,0
3,26,6,10.7,4.9,0,5.555555556,66.66666667,0,0
3,26,7,11.3,4.6,163.8888889,63.88888889,72.22222222,11.4,-84.6
3,26,8,12.6,4.4,313.8888889,141.6666667,91.66666667,23.6,-75.3
3,26,9,12.8,4.1,300,222.2222222,88.88888889,35.2,-64.4
3,26,10,14,3.9,375,277.7777778,97.22222222,45.6,-50.1
3,26,11,12.9,3.8,452.7777778,300,102.7777778,53.6,-30.5
3,26,12,12.7,3.6,561.1111111,275,105.5555556,57.4,-4.7
3,26,13,13.5,3.4,563.8888889,266.6666667,111.1111111,55.5,22.4
3,26,14,12.6,3.3,175,316.6666667,83.33333333,48.7,44.3
3,26,15,12,3.1,58.33333333,211.1111111,66.66666667,38.9,60.1
3,26,16,11,3.3,438.8888889,152.7777778,100,27.6,72
3,26,17,9.8,3.4,269.4444444,91.66666667,94.44444444,15.6,81.7
3,26,18,8.7,3.5,72.22222222,13.88888889,88.88888889,3.3,90.4
3,26,19,7.7,3.6,0,0,83.33333333,0,0
3,26,20,7.3,3.7,0,0,80.55555556,0,0
3,26,21,7,3.9,0,0,77.77777778,0,0
3,26,22,6.8,3.9,0,0,72.22222222,0,0
3,26,23,6.2,3.8,0,0,69.44444444,0,0
3,26,24,6.1,3.8,0,0,66.66666667,0,0
3,27,1,6.1,3.8,0,0,63.88888889,0,0
3,27,2,6.4,3.8,0,0,61.11111111,0,0
3,27,3,6.6,3.8,0,0,58.33333333,0,0
3,27,4,6.1,3.7,0,0,55.55555556,0,0
3,27,5,5.9,3.7,0,0,52.77777778,0,0
3,27,6,6.1,3.6,0,5.555555556,50,0,0
3,27,7,6,3.6,33.33333333,47.22222222,47.22222222,11.7,-84.9
3,27,8,7.1,3.6,25,91.66666667,47.22222222,23.9,-75.6
3,27,9,8.3,3.6,105.5555556,213.8888889,66.66666667,35.5,-64.7
3,27,10,8.7,3.6,127.7777778,288.8888889,72.22222222,45.9,-50.4
3,27,11,9.4,3.5,213.8888889,350,83.33333333,54,-30.7
3,27,12,10,3.5,58.33333333,308.3333333,63.88888889,57.8,-4.6
3,27,13,10.6,3.5,122.2222222,344.4444444,75,55.8,22.8
3,27,14,11.7,3.4,283.3333333,313.8888889,91.66666667,49,44.7
3,27,15,11.6,3.4,347.2222222,241.6666667,97.22222222,39.1,60.6
3,27,16,11.4,3.5,183.3333333,175,80.55555556,27.8,72.4
3,27,17,10.8,3.5,188.8888889,94.44444444,80.55555556,15.8,82.1
3,27,18,9.9,3.6,41.66666667,13.88888889,80.55555556,3.5,90.8
3,27,19,7.7,3.6,0,0,77.77777778,0,0
3,27,20,6.9,3.7,0,0,77.77777778,0,0
3,27,21,6.7,3.8,0,0,77.77777778,0,0
3,27,22,5.2,3.8,0,0,77.77777778,0,0
3,27,23,5.2,3.8,0,0,77.77777778,0,0
3,27,24,4.5,3.9,0,0,75,0,0
3,28,1,4.2,3.9,0,0,77.77777778,0,0
3,28,2,4.4,3.9,0,0,77.77777778,0,0
3,28,3,4.4,3.9,0,0,77.77777778,0,0
3,28,4,4.5,3.9,0,0,77.77777778,0,0
3,28,5,4.5,4,0,0,77.77777778,0,0
3,28,6,4.2,4.1,0,8.333333333,80.55555556,0,0
3,28,7,4.7,4.1,291.6666667,66.66666667,80.55555556,12,-85.1
3,28,8,6.3,4.1,572.2222222,108.3333333,94.44444444,24.2,-75.9
3,28,9,7.6,4.2,638.8888889,147.2222222,97.22222222,35.8,-65
3,28,10,8.9,4.2,533.3333333,233.3333333,94.44444444,46.3,-50.7
3,28,11,9,4.2,247.2222222,350,80.55555556,54.4,-30.8
3,28,12,9.9,4.3,672.2222222,227.7777778,100,58.2,-4.5
3,28,13,10.6,4.3,252.7777778,358.3333333,80.55555556,56.2,23.1
3,28,14,11.6,4.4,69.44444444,272.2222222,63.88888889,49.2,45.2
3,28,15,11.7,4.4,647.2222222,163.8888889,100,39.3,61
3,28,16,12.3,4.4,597.2222222,122.2222222,105.5555556,28,72.8
3,28,17,12.3,4.4,438.8888889,80.55555556,105.5555556,16,82.5
3,28,18,10.4,4.4,108.3333333,16.66666667,97.22222222,3.7,91.2
3,28,19,8.9,4.4,0,0,88.88888889,0,0
3,28,20,7.5,4.4,0,0,86.11111111,0,0
3,28,21,6.4,4.5,0,0,80.55555556,0,0
3,28,22,5.8,4.4,0,0,75,0,0
3,28,23,5.2,4.4,0,0,72.22222222,0,0
3,28,24,4.9,4.4,0,0,66.66666667,0,0
3,29,1,4.2,4.4,0,0,63.88888889,0,0
3,29,2,3.9,4.3,0,0,58.33333333,0,0
3,29,3,3.4,4.3,0,0,52.77777778,0,0
3,29,4,4.2,4.4,0,0,52.77777778,0,0
3,29,5,4.6,4.5,0,0,47.22222222,0,0
3,29,6,4.9,4.6,0,5.555555556,44.44444444,0,0
3,29,7,5,4.7,25,44.44444444,38.88888889,12.3,-85.4
3,29,8,5.9,4.8,16.66666667,88.88888889,41.66666667,24.5,-76.2
3,29,9,7.8,4.9,180.5555556,233.3333333,72.22222222,36.1,-65.3
3,29,10,9.9,4.9,36.11111111,213.8888889,52.77777778,46.6,-51
3,29,11,11.4,4.9,216.6666667,352.7777778,80.55555556,54.8,-31
3,29,12,13.1,4.9,213.8888889,372.2222222,83.33333333,58.6,-4.4
3,29,13,14.1,4.9,169.4444444,358.3333333,77.77777778,56.5,23.5
3,29,14,14.4,4.9,33.33333333,225,55.55555556,49.5,45.6
3,29,15,14.3,4.9,8.333333333,141.6666667,44.44444444,39.6,61.4
3,29,16,13.4,4.8,13.88888889,102.7777778,47.22222222,28.2,73.2
3,29,17,13.1,4.8,19.44444444,58.33333333,44.44444444,16.1,82.8
3,29,18,12.4,4.7,33.33333333,13.88888889,47.22222222,3.8,91.5
3,29,19,11.5,4.6,0,0,44.44444444,0,0
3,29,20,11.2,4.6,0,0,44.44444444,0,0
3,29,21,11,4.5,0,0,47.22222222,0,0
3,29,22,9.5,4.4,0,0,47.22222222,0,0
3,29,23,9.2,4.2,0,0,47.22222222,0,0
3,29,24,9.7,4.1,0,0,50,0,0
3,30,1,9.2,4,0,0,50,0,0
3,30,2,8.8,3.9,0,0,50,0,0
3,30,3,8.5,3.8,0,0,50,0,0
3,30,4,8,3.6,0,0,52.77777778,0,0
3,30,5,7.7,3.6,0,0,52.77777778,0,0
3,30,6,7.8,3.5,13.88888889,8.333333333,52.77777778,0.2,-94.3
3,30,7,7.8,3.4,47.22222222,55.55555556,52.77777778,12.6,-85.7
3,30,8,8.3,3.4,230.5555556,152.7777778,77.77777778,24.7,-76.5
3,30,9,9.8,3.3,602.7777778,161.1111111,105.5555556,36.4,-65.6
3,30,10,10.6,3.3,611.1111111,208.3333333,105.5555556,47,-51.3
3,30,11,11.6,3.3,619.4444444,238.8888889,108.3333333,55.2,-31.2
3,30,12,12.4,3.3,616.6666667,252.7777778,111.1111111,59,-4.3
3,30,13,13.4,3.3,619.4444444,244.4444444,111.1111111,56.9,23.8
3,30,14,12.9,3.3,616.6666667,216.6666667,111.1111111,49.8,46.1
3,30,15,13.4,3.4,502.7777778,208.3333333,105.5555556,39.8,61.9
3,30,16,13.6,3.5,144.4444444,175,80.55555556,28.4,73.6
3,30,17,13,3.6,241.6666667,97.22222222,88.88888889,16.3,83.2
3,30,18,11.4,3.7,227.7777778,19.44444444,83.33333333,4,91.9
3,30,19,9.7,3.9,0,0,77.77777778,0,0
3,30,20,8.4,4,0,0,72.22222222,0,0
3,30,21,8.3,4.1,0,0,69.44444444,0,0
3,30,22,6.9,4.1,0,0,66.66666667,0,0
3,30,23,7.1,4.1,0,0,63.88888889,0,0
3,30,24,6.5,4,0,0,61.11111111,0,0
3,31,1,6.2,4,0,0,55.55555556,0,0
3,31,2,6.3,3.9,0,0,52.77777778,0,0
3,31,3,6.3,3.9,0,0,50,0,0
3,31,4,6.1,3.9,0,0,47.22222222,0,0
3,31,5,5.9,4,0,0,47.22222222,0,0
3,31,6,6.1,4.1,8.333333333,8.333333333,41.66666667,0.5,-94.5
3,31,7,6.8,4.1,19.44444444,44.44444444,38.88888889,12.8,-86
3,31,8,6.7,4.1,13.88888889,88.88888889,38.88888889,25,-76.8
3,31,9,7.3,4.2,16.66666667,125,38.88888889,36.7,-65.9
3,31,10,7.4,4.2,8.333333333,158.3333333,38.88888889,47.3,-51.5
3,31,11,7,4.4,22.22222222,166.6666667,38.88888889,55.5,-31.3
3,31,12,7,4.4,0,147.2222222,38.88888889,59.4,-4.2
3,31,13,6.6,4.5,0,144.4444444,13.88888889,57.2,24.2
3,31,14,6.9,4.7,8.333333333,163.8888889,38.88888889,50,46.5
3,31,15,7.4,4.8,88.88888889,236.1111111,58.33333333,40,62.3
3,31,16,8.8,4.7,263.8888889,177.7777778,80.55555556,28.5,74
3,31,17,8.6,4.6,225,97.22222222,86.11111111,16.5,83.6
3,31,18,8.4,4.5,127.7777778,22.22222222,80.55555556,4.1,92.3
3,31,19,6.9,4.4,0,0,77.77777778,0,0
3,31,20,6.2,4.2,0,0,75,0,0
3,31,21,6.8,4.2,0,0,72.22222222,0,0
3,31,22,7.5,4.3,0,0,66.66666667,0,0
3,31,23,7.9,4.3,0,0,61.11111111,0,0
3,31,24,8.2,4.4,0,0,58.33333333,0,0
4,1,1,8.8,4.6,0,0,52.77777778,0,0
4,1,2,9.4,4.8,0,0,44.44444444,0,0
4,1,3,9.7,5.6,0,0,38.88888889,0,0
4,1,4,10.4,6.4,0,0,30.55555556,0,0
4,1,5,11.2,6.8,0,0,22.22222222,0,0
4,1,6,11.2,7.4,0,2.777777778,13.88888889,0.8,-94.8
4,1,7,11.4,7.7,2.777777778,25,13.88888889,13.1,-86.3
4,1,8,11.6,7.6,0,52.77777778,13.88888889,25.3,-77.1
4,1,9,12.1,8,8.333333333,113.8888889,13.88888889,37.1,-66.2
4,1,10,13.2,8.2,16.66666667,133.3333333,22.22222222,47.7,-51.8
4,1,11,12.9,8.1,5.555555556,166.6666667,13.88888889,55.9,-31.5
4,1,12,13.5,8.3,13.88888889,230.5555556,22.22222222,59.8,-4.1
4,1,13,14,8.1,22.22222222,216.6666667,22.22222222,57.6,24.6
4,1,14,14.5,8.2,19.44444444,191.6666667,22.22222222,50.3,47
4,1,15,14.6,8.3,22.22222222,152.7777778,22.22222222,40.2,62.7
4,1,16,14.6,8.2,16.66666667,105.5555556,22.22222222,28.7,74.4
4,1,17,14.5,8,22.22222222,58.33333333,25,16.6,84
4,1,18,14.7,8,25,13.88888889,27.77777778,4.3,92.6
4,1,19,14.6,8,0,0,30.55555556,0,0
4,1,20,14.6,8.2,0,0,36.11111111,0,0
4,1,21,14.5,8.1,0,0,38.88888889,0,0
4,1,22,14.1,8.4,0,0,41.66666667,0,0
4,1,23,13.7,8.4,0,0,44.44444444,0,0
4,1,24,13.6,8.3,0,0,50,0,0
4,2,1,13.5,8.5,0,0,52.77777778,0,0
4,2,2,13.4,8.5,0,0,58.33333333,0,0
4,2,3,13.4,8.5,0,0,61.11111111,0,0
4,2,4,13.3,8.5,0,0,63.88888889,0,0
4,2,5,13,8.5,0,0,66.66666667,0,0
4,2,6,12,8.1,66.66666667,13.88888889,72.22222222,1.1,-95.1
4,2,7,11.9,8,408.3333333,69.44444444,77.77777778,13.4,-86.6
4,2,8,13.5,7.6,680.5555556,91.66666667,88.88888889,25.6,-77.4
4,2,9,15.9,6.6,741.6666667,122.2222222,97.22222222,37.4,-66.5
4,2,10,17.2,6.1,758.3333333,152.7777778,100,48,-52.1
4,2,11,18.4,6.1,772.2222222,172.2222222,102.7777778,56.3,-31.7
4,2,12,19.6,5.9,772.2222222,180.5555556,105.5555556,60.2,-4
4,2,13,20.4,6.1,230.5555556,369.4444444,75,57.9,25
4,2,14,19.6,6.6,438.8888889,286.1111111,86.11111111,50.6,47.4
4,2,15,20.3,6.9,461.1111111,222.2222222,83.33333333,40.4,63.2
4,2,16,19.5,6.6,400,166.6666667,86.11111111,28.9,74.8
4,2,17,19.2,7.1,255.5555556,100,69.44444444,16.8,84.3
4,2,18,18.3,6.5,108.3333333,22.22222222,69.44444444,4.5,93
4,2,19,17.6,6,0,0,72.22222222,0,0
4,2,20,17,6.4,0,0,72.22222222,0,0
4,2,21,17,6.3,0,0,72.22222222,0,0
4,2,22,16.1,5.8,0,0,72.22222222,0,0
4,2,23,15.3,6,0,0,69.44444444,0,0
4,2,24,14.2,6,0,0,69.44444444,0,0
4,3,1,13.5,6,0,0,69.44444444,0,0
4,3,2,12.6,6.1,0,0,69.44444444,0,0
4,3,3,11.9,6.1,0,0,69.44444444,0,0
4,3,4,11,6.2,0,0,66.66666667,0,0
4,3,5,10.7,6.1,0,0,69.44444444,0,0
4,3,6,10.5,6.1,44.44444444,11.11111111,66.66666667,1.3,-95.4
4,3,7,10.1,6.1,280.5555556,77.77777778,66.66666667,13.7,-86.8
4,3,8,11.5,6.1,644.4444444,100,88.88888889,25.9,-77.7
4,3,9,13.7,6.4,708.3333333,133.3333333,88.88888889,37.7,-66.8
4,3,10,15.1,7.1,730.5555556,166.6666667,88.88888889,48.3,-52.4
4,3,11,16.1,6.8,741.6666667,186.1111111,91.66666667,56.7,-31.9
4,3,12,17.2,5.8,738.8888889,197.2222222,97.22222222,60.6,-3.9
4,3,13,17.8,5.2,497.2222222,300,91.66666667,58.2,25.3
4,3,14,18.3,4.5,155.5555556,325,69.44444444,50.8,47.9
4,3,15,18.5,4.1,55.55555556,216.6666667,58.33333333,40.6,63.6
4,3,16,18.8,3.9,86.11111111,166.6666667,63.88888889,29.1,75.2
4,3,17,18.5,4.1,63.88888889,83.33333333,58.33333333,16.9,84.7
4,3,18,17.7,4.5,77.77777778,22.22222222,52.77777778,4.6,93.3
4,3,19,17.4,4.8,0,0,47.22222222,0,0
4,3,20,15.9,5.4,0,0,44.44444444,0,0
4,3,21,15.2,5.6,0,0,38.88888889,0,0
4,3,22,15,5.4,0,0,38.88888889,0,0
4,3,23,13.8,5.3,0,0,33.33333333,0,0
4,3,24,13,5.4,0,0,33.33333333,0,0
4,4,1,12.2,5.3,0,0,27.77777778,0,0
4,4,2,11.4,5.2,0,0,27.77777778,0,0
4,4,3,11.6,5.3,0,0,25,0,0
4,4,4,11.4,5.2,0,0,22.22222222,0,0
4,4,5,11.4,5.4,0,0,19.44444444,0,0
4,4,6,11.7,6,5.555555556,5.555555556,16.66666667,1.6,-95.6
4,4,7,10.6,6.6,11.11111111,38.88888889,13.88888889,14,-87.1
4,4,8,11.4,7.2,11.11111111,69.44444444,22.22222222,26.2,-78
4,4,9,12,7.8,0,80.55555556,13.88888889,38,-67.1
4,4,10,12.5,8,0,100,13.88888889,48.7,-52.7
4,4,11,13.2,8.5,0,175,13.88888889,57.1,-32.1
4,4,12,13.8,8.4,13.88888889,169.4444444,22.22222222,60.9,-3.8
4,4,13,13.6,8.4,0,113.8888889,13.88888889,58.6,25.7
4,4,14,13.6,8.7,0,102.7777778,13.88888889,51.1,48.4
4,4,15,13.6,8.8,0,86.11111111,13.88888889,40.8,64.1
4,4,16,13.9,8.7,0,61.11111111,13.88888889,29.2,75.6
4,4,17,14,8.6,2.777777778,33.33333333,13.88888889,17.1,85.1
4,4,18,13.9,8.4,5.555555556,11.11111111,13.88888889,4.8,93.7
4,4,19,13.7,8.4,0,0,13.88888889,0,0
4,4,20,13.4,8.3,0,0,13.88888889,0,0
4,4,21,13.5,8.4,0,0,13.88888889,0,0
4,4,22,13.5,8.5,0,0,13.88888889,0,0
4,4,23,13.1,8.5,0,0,13.88888889,0,0
4,4,24,12.8,8.5,0,0,11.11111111,0,0
4,5,1,12.8,8.5,0,0,11.11111111,0,0
4,5,2,13,8.6,0,0,13.88888889,0,0
4,5,3,12.8,8.6,0,0,16.66666667,0,0
4,5,4,12.7,8.6,0,0,22.22222222,0,0
4,5,5,12.6,8.5,0,0,25,0,0
4,5,6,12.6,8.4,22.22222222,11.11111111,30.55555556,1.9,-95.9
4,5,7,12.8,8.5,27.77777778,55.55555556,33.33333333,14.2,-87.4
4,5,8,13.1,8.7,27.77777778,111.1111111,33.33333333,26.5,-78.3
4,5,9,13.5,8.6,25,166.6666667,36.11111111,38.3,-67.4
4,5,10,14.9,8.8,27.77777778,211.1111111,36.11111111,49,-53
4,5,11,16.6,7.2,252.7777778,363.8888889,66.66666667,57.4,-32.2
4,5,12,17.2,6.6,30.55555556,255.5555556,38.88888889,61.3,-3.7
4,5,13,16.8,6.6,38.88888889,294.4444444,44.44444444,58.9,26.1
4,5,14,16.9,6,30.55555556,222.2222222,41.66666667,51.3,48.8
4,5,15,17.2,5.9,416.6666667,236.1111111,80.55555556,41,64.5
4,5,16,17.3,5.8,197.2222222,186.1111111,66.66666667,29.4,76
4,5,17,16.5,6,50,80.55555556,47.22222222,17.2,85.5
4,5,18,16,6.2,38.88888889,19.44444444,50,4.9,94
4,5,19,15.2,6.2,0,0,52.77777778,0,0
4,5,20,14.2,6.3,0,0,52.77777778,0,0
4,5,21,13.5,6.2,0,0,58.33333333,0,0
4,5,22,12.5,6.3,0,0,61.11111111,0,0
4,5,23,11.9,6.3,0,0,63.88888889,0,0
4,5,24,11.4,6.2,0,0,66.66666667,0,0
4,6,1,10.5,6.1,0,0,69.44444444,0,0
4,6,2,9.8,6,0,0,72.22222222,0,0
4,6,3,9.5,6,0,0,75,0,0
4,6,4,8.9,5.9,0,0,77.77777778,0,0
4,6,5,8.7,5.9,0,0,80.55555556,0,0
4,6,6,8.2,5.8,97.22222222,13.88888889,86.11111111,2.2,-96.2
4,6,7,8.7,5.8,477.7777778,69.44444444,88.88888889,14.5,-87.7
4,6,8,10.8,6.2,719.4444444,88.88888889,94.44444444,26.8,-78.6
4,6,9,13.5,6.4,772.2222222,116.6666667,97.22222222,38.6,-67.7
4,6,10,15.8,6.7,797.2222222,138.8888889,97.22222222,49.3,-53.3
4,6,11,17.4,6.4,805.5555556,158.3333333,100,57.8,-32.4
4,6,12,18.3,6.4,805.5555556,163.8888889,102.7777778,61.7,-3.6
4,6,13,18.9,6.4,805.5555556,161.1111111,105.5555556,59.2,26.5
4,6,14,19.4,6.1,794.4444444,147.2222222,105.5555556,51.6,49.3
4,6,15,20.9,5.4,783.3333333,119.4444444,113.8888889,41.2,64.9
4,6,16,21,6.1,561.1111111,136.1111111,97.22222222,29.6,76.4
4,6,17,20.8,6.3,391.6666667,94.44444444,86.11111111,17.4,85.8
4,6,18,19.2,5.9,116.6666667,25,83.33333333,5.1,94.4
4,6,19,17.8,6.9,0,0,75,0,0
4,6,20,16.9,7,0,0,69.44444444,0,0
4,6,21,16.5,6.8,0,0,69.44444444,0,0
4,6,22,15.4,7.1,0,0,63.88888889,0,0
4,6,23,15.1,6.9,0,0,61.11111111,0,0
4,6,24,14.8,6.8,0,0,58.33333333,0,0
4,7,1,14.2,6.9,0,0,55.55555556,0,0
4,7,2,13.7,7.1,0,0,50,0,0
4,7,3,13.2,7,0,0,47.22222222,0,0
4,7,4,13.2,6.9,0,0,44.44444444,0,0
4,7,5,12.9,6.8,0,0,44.44444444,0,0
4,7,6,12.9,6.7,44.44444444,11.11111111,41.66666667,2.4,-96.4
4,7,7,13.3,6.7,33.33333333,61.11111111,38.88888889,14.8,-88
4,7,8,14,6.7,33.33333333,116.6666667,38.88888889,27,-78.9
4,7,9,15,6.5,52.77777778,202.7777778,44.44444444,38.9,-68
4,7,10,16.1,6.5,33.33333333,225,41.66666667,49.7,-53.6
4,7,11,16.7,5.9,30.55555556,261.1111111,41.66666667,58.2,-32.6
4,7,12,18.1,5.9,44.44444444,313.8888889,47.22222222,62.1,-3.5
4,7,13,18.6,5.9,197.2222222,375,66.66666667,59.5,26.9
4,7,14,18.7,5.9,108.3333333,313.8888889,58.33333333,51.8,49.8
4,7,15,18.9,5.8,347.2222222,255.5555556,80.55555556,41.4,65.4
4,7,16,18.2,6.9,325,180.5555556,72.22222222,29.7,76.8
4,7,17,16.8,6.6,141.6666667,102.7777778,63.88888889,17.6,86.2
4,7,18,16.2,6,44.44444444,22.22222222,66.66666667,5.2,94.8
4,7,19,15,6.2,0,0,66.66666667,0,0
4,7,20,14,6.2,0,0,66.66666667,0,0
4,7,21,13.2,6,0,0,69.44444444,0,0
4,7,22,12.6,5.5,0,0,72.22222222,0,0
4,7,23,11.8,5.8,0,0,72.22222222,0,0
4,7,24,11,5.6,0,0,72.22222222,0,0
4,8,1,10.4,5.7,0,0,72.22222222,0,0
4,8,2,9.8,5.6,0,0,75,0,0
4,8,3,8.8,5.5,0,0,75,0,0
4,8,4,8.1,5.4,0,0,77.77777778,0,0
4,8,5,7.6,5.3,0,0,77.77777778,0,0
4,8,6,7.1,5.1,194.4444444,13.88888889,80.55555556,2.7,-96.7
4,8,7,7.6,5.1,416.6666667,77.77777778,83.33333333,15,-88.2
4,8,8,9.3,5.2,608.3333333,113.8888889,91.66666667,27.3,-79.2
4,8,9,12.2,5.3,783.3333333,113.8888889,100,39.2,-68.4
4,8,10,14.6,5.8,800,138.8888889,100,50,-53.9
4,8,11,16.3,6,808.3333333,158.3333333,100,58.5,-32.8
4,8,12,18,6.6,811.1111111,163.8888889,102.7777778,62.5,-3.4
4,8,13,18.2,6.8,813.8888889,158.3333333,100,59.9,27.3
4,8,14,18.3,6.9,805.5555556,141.6666667,100,52.1,50.2
4,8,15,19.2,7.6,786.1111111,119.4444444,97.22222222,41.6,65.8
4,8,16,19.2,7.6,733.3333333,94.44444444,97.22222222,29.9,77.2
4,8,17,19.1,8.1,386.1111111,97.22222222,77.77777778,17.7,86.6
4,8,18,18.2,8.2,122.2222222,27.77777778,72.22222222,5.4,95.1
4,8,19,16.7,8.4,0,0,69.44444444,0,0
4,8,20,15.8,8.5,0,0,63.88888889,0,0
4,8,21,15.5,8.5,0,0,63.88888889,0,0
4,8,22,15.2,8.5,0,0,58.33333333,0,0
4,8,23,14.5,8.3,0,0,58.33333333,0,0
4,8,24,14,8.2,0,0,55.55555556,0,0
4,9,1,13.9,8.2,0,0,52.77777778,0,0
4,9,2,13.1,8,0,0,50,0,0
4,9,3,12.8,8.1,0,0,47.22222222,0,0
4,9,4,12.3,7.9,0,0,47.22222222,0,0
4,9,5,11.8,7.7,0,0,44.44444444,0,0
4,9,6,11.2,7.6,66.66666667,13.88888889,38.88888889,3,-97
4,9,7,11.8,7.8,38.88888889,66.66666667,38.88888889,15.3,-88.5
4,9,8,12.6,8,38.88888889,127.7777778,38.88888889,27.6,-79.5
4,9,9,14.2,8.4,125,244.4444444,50,39.4,-68.7
4,9,10,17,8.4,341.6666667,308.3333333,69.44444444,50.3,-54.2
4,9,11,18.7,9,436.1111111,327.7777778,72.22222222,58.9,-33
4,9,12,19.9,8,205.5555556,391.6666667,63.88888889,62.8,-3.3
4,9,13,21.1,7.6,347.2222222,358.3333333,75,60.2,27.7
4,9,14,21.3,8,272.2222222,333.3333333,69.44444444,52.3,50.7
4,9,15,21.3,7.2,119.4444444,258.3333333,58.33333333,41.8,66.2
4,9,16,20.6,7.1,38.88888889,138.8888889,44.44444444,30.1,77.6
4,9,17,21.1,7.9,41.66666667,77.77777778,41.66666667,17.9,86.9
4,9,18,20.2,8.2,47.22222222,22.22222222,36.11111111,5.5,95.5
4,9,19,19.3,8.8,0,0,30.55555556,0,0
4,9,20,18.4,9.3,0,0,30.55555556,0,0
4,9,21,18.4,9.3,0,0,25,0,0
4,9,22,17.6,10.1,0,0,19.44444444,0,0
4,9,23,17,10.4,0,0,16.66666667,0,0
4,9,24,16.7,10.5,0,0,13.88888889,0,0
4,10,1,15.8,10.2,0,0,11.11111111,0,0
4,10,2,15.8,10.4,0,0,11.11111111,0,0
4,10,3,16.3,10.6,0,0,11.11111111,0,0
4,10,4,16.2,10.4,0,0,13.88888889,0,0
4,10,5,15.9,10.2,0,0,13.88888889,0,0
4,10,6,15.7,10.1,2.777777778,5.555555556,13.88888889,3.3,-97.3
4,10,7,15.6,10,2.777777778,30.55555556,13.88888889,15.6,-88.8
4,10,8,15.5,10.1,5.555555556,55.55555556,13.88888889,27.8,-79.8
4,10,9,15.6,9.9,5.555555556,80.55555556,13.88888889,39.7,-69
4,10,10,15.6,9.9,8.333333333,152.7777778,13.88888889,50.6,-54.5
4,10,11,15.7,9.9,16.66666667,227.7777778,22.22222222,59.3,-33.3
4,10,12,16,10.2,22.22222222,233.3333333,22.22222222,63.2,-3.1
4,10,13,16.2,10.3,11.11111111,233.3333333,19.44444444,60.5,28.2
4,10,14,16.4,10.4,25,197.2222222,19.44444444,52.6,51.2
4,10,15,16.8,10.5,16.66666667,161.1111111,19.44444444,42,66.7
4,10,16,17.5,10.8,16.66666667,113.8888889,22.22222222,30.2,78
4,10,17,17.5,10.7,16.66666667,63.88888889,22.22222222,18,87.3
4,10,18,17.3,10.7,16.66666667,16.66666667,22.22222222,5.7,95.8
4,10,19,17.1,10.7,0,0,22.22222222,0,0
4,10,20,17.2,10.7,0,0,22.22222222,0,0
4,10,21,16.8,10.3,0,0,22.22222222,0,0
4,10,22,16.3,9.8,0,0,25,0,0
4,10,23,15.7,9.5,0,0,25,0,0
4,10,24,15.6,8.7,0,0,27.77777778,0,0
4,11,1,15.4,8.6,0,0,30.55555556,0,0
4,11,2,15.4,8.5,0,0,30.55555556,0,0
4,11,3,15,6.7,0,0,33.33333333,0,0
4,11,4,14.2,6.3,0,0,33.33333333,0,0
4,11,5,13.7,6.2,0,0,36.11111111,0,0
4,11,6,13.2,6,30.55555556,11.11111111,36.11111111,3.5,-97.5
4,11,7,12.8,6.1,25,58.33333333,36.11111111,15.8,-89.1
4,11,8,12.8,5.6,25,111.1111111,36.11111111,28.1,-80.1
4,11,9,13.4,5.3,22.22222222,163.8888889,41.66666667,40,-69.3
4,11,10,13.9,5.1,94.44444444,302.7777778,55.55555556,51,-54.9
4,11,11,14.4,5.4,172.2222222,375,63.88888889,59.6,-33.5
4,11,12,13.9,5.1,36.11111111,294.4444444,47.22222222,63.6,-3
4,11,13,13.4,5.1,27.77777778,236.1111111,41.66666667,60.8,28.6
4,11,14,14.1,4.7,27.77777778,211.1111111,41.66666667,52.8,51.7
4,11,15,13.9,4.7,41.66666667,202.7777778,47.22222222,42.2,67.1
4,11,16,13.7,4.5,19.44444444,119.4444444,41.66666667,30.4,78.4
4,11,17,13,4.5,22.22222222,66.66666667,41.66666667,18.2,87.7
4,11,18,12.8,4.6,22.22222222,19.44444444,36.11111111,5.8,96.1
4,11,19,12.5,4.5,0,0,36.11111111,0,0
4,11,20,12,4.6,0,0,33.33333333,0,0
4,11,21,11.3,4.6,0,0,33.33333333,0,0
4,11,22,10.3,4.8,0,0,30.55555556,0,0
4,11,23,9.7,4.7,0,0,27.77777778,0,0
4,11,24,9.4,4.9,0,0,25,0,0
4,12,1,9.2,4.9,0,0,25,0,0
4,12,2,8.1,5,0,0,22.22222222,0,0
4,12,3,7.3,4.9,0,0,19.44444444,0,0
