出力結果の種類,"列名 ([i]=室ID, [j]=境界ID）",単位,概要
室,rm[i]_ac_operate,－,運転状態
室,rm[i]_t_r,℃,空気温度
室,rm[i]_x_r,kg/kg(DA),室絶対湿度
室,rm[i]_ot,℃,室作用温度
室,rm[i]_l_s_c,W,対流空調顕熱負荷
室,rm[i]_l_s_r,W,放射空調顕熱負荷
室,rm[i]_l_l_c,W,対流空調潜熱負荷
