1,2,3,4,5,6,7,key,項目名,必須,条件,型,単位,入力,備考
,,,○,,,,z_x_pls,側壁右の出幅,△,{'input_method': 'detailed'},float,m,,
,,,○,,,,z_x_mns,側壁左の出幅,△,{'input_method': 'detailed'},float,m,,
,,,○,,,,z_y_pls,上部庇の出幅,△,{'input_method': 'detailed'},float,m,,
,,,○,,,,z_y_mns,下部庇の出幅,△,{'input_method': 'detailed'},float,m,,
〇,,,,,,,equipments,設備機器,〇,,dict,－,,
,〇,,,,,,heaintg_equipments,暖房設備,〇,,list,－,,
,,〇,,,,,,,〇,,dict,－,,
,,,〇,,,,id,,〇,,float,－,,
,,,〇,,,,name,,〇,,str,－,,
,,,〇,,,,equipment_type,,〇,,str,－,"{'rac', 'floor_heating'}",
,,,〇,,,,property,,〇,,dict,－,,
,,,,〇,,,space_id,設置する空間の番号,△,{'property':'rac'},int,－,,
,,,,〇,,,q_min,最小暖房能力,△,{'property':'rac'},float,W,,
,,,,〇,,,q_max,最大暖房能力,△,{'property':'rac'},float,W,,
,,,,〇,,,v_min,最小風量,△,{'property':'rac'},float,m3/min,,
,,,,〇,,,v_max,最大風量,△,{'property':'rac'},float,m3/min,,
,,,,〇,,,bf,バイパスファクター,△,{'property':'rac'},float,－,,
,,,,〇,,,max_capacity,面積あたりの放熱能力,△,{'property':'floor_heating'},float,W/m2,,
,,,,〇,,,area,面積,△,{'property':'floor_heating'},float,m2,,
,〇,,,,,,cooling_equipments,冷房設備,〇,,list,－,,
,,〇,,,,,,,〇,,dict,－,,
,,〇,,,,,,,〇,,dict,－,,
,,,〇,,,,id,,〇,,float,－,,
,,,〇,,,,name,,〇,,str,－,,
,,,〇,,,,equipment_type,,〇,,str,－,"{'rac', 'floor_cooling'}",
,,,〇,,,,property,,〇,,dict,－,,
,,,,〇,,,space_id,設置する空間の番号,△,{'property':'rac'},int,－,,
,,,,〇,,,q_min,最小冷房能力,△,{'property':'rac'},float,W,,
,,,,〇,,,q_max,最大冷房能力,△,{'property':'rac'},float,W,,
,,,,〇,,,v_min,最小風量,△,{'property':'rac'},float,m3/min,,
,,,,〇,,,v_max,最大風量,△,{'property':'rac'},float,m3/min,,
,,,,〇,,,bf,バイパスファクター,△,{'property':'rac'},float,－,,
,,,,〇,,,max_capacity,面積あたりの放熱能力,△,{'property':'floor_cooling'},float,W/m2,,
,,,,〇,,,area,面積,△,{'property':'floor_cooling'},float,m2,,
